F2, Ctrl+R           Перечитати панель
F3                   Перегляд
F4                   Редагування
F5                   Копіювання
F6                   Переміщення
F7                   Створити папку
F8                   Знищити
F9                   Відкрити з допомогою
Shift+F8             Знищити
Shift+F6             Переіменування
Alt+F1               Змінити шлях зліва
Alt+F2               Змінити шлях зправа
Alt+F7               Пошук

Alt+A                Змінити атрибути
Alt+Enter            Властивості файлу

Gray+                Вибрати групу
Gray-                Зняти вибір з групи
Ctrl+Gray+           Вибрати все
Ctrl+Gray-           Зняти весь вибір
Alt+Gray+            Вибрати за розширенням
Alt+Gray-            Зняти вибір за розширенням
Gray*

Ctrl+PgUp            Перейти в батьківський каталог
Ctrl+\               Перейти в кореневий каталог
Ctrl+ <-             Відкрити каталог на лівій панелі
Ctrl+ ->             Відкрити каталог на правій панелі
Alt+Up               Змінити шлях над списком файлів
Ctrl+J               Отримувач = Джерелу

Ctrl+F3              По імені
Ctrl+F4              По типу
Ctrl+F5              По часу
Ctrl+F6              По розміру
Ctrl+F7              Без сортування
Ctrl+F10             Всі файли
Ctrl+F11             Програми
Ctrl+F12             Фільтр користувача
Ctrl+S               Тільки вибрані файли
Ctrl+B               Показати всі файли без каталогів
Alt+Shift+Enter      Показати розміри всіх папок

Alt+F7               Пошук файлів
